index,size,date,dob,tree,treat
1,4.51,11/13/2003,9/15/1999,1,ozone
2,4.98,6/2/2000,8/28/1995,1,ozone
3,5.41,1/24/1992,7/24/1986,1,ozone
4,5.9,4/19/1990,1/31/1984,1,ozone
5,6.15,5/12/1993,4/19/1986,1,ozone
6,4.24,3/21/1997,1/21/1993,2,ozone
7,4.2,8/15/1997,11/9/1992,2,ozone
8,4.68,12/22/2004,6/22/1999,2,ozone
9,4.92,4/28/1997,2/9/1991,2,ozone
10,4.96,2/3/2007,1/11/2000,2,ozone
11,3.98,9/12/1990,7/15/1986,3,ozone
12,4.36,11/26/1999,2/20/1995,3,ozone
13,4.79,10/16/1990,4/15/1985,3,ozone
14,4.99,11/7/2003,8/20/1997,3,ozone
15,5.03,4/18/1993,3/26/1986,3,ozone
16,4.36,7/17/2005,5/19/2001,4,ozone
17,4.77,1/1/1990,3/28/1985,4,ozone
18,5.1,7/12/1996,1/10/1991,4,ozone
19,5.3,5/4/2000,2/15/1994,4,ozone
20,5.36,5/30/1994,5/7/1987,4,ozone
21,4.34,5/23/1993,3/25/1989,5,ozone
22,4.95,7/27/2004,10/22/1999,5,ozone
23,5.42,3/11/2004,9/9/1998,5,ozone
24,5.97,5/11/2001,2/22/1995,5,ozone
25,6.28,7/14/1994,6/21/1987,5,ozone
26,4.59,10/26/2006,8/28/2002,6,ozone
27,5.08,4/17/1999,7/12/1994,6,ozone
28,5.36,11/15/2001,5/15/1996,6,ozone
29,5.76,4/8/1995,1/19/1989,6,ozone
30,6,8/14/2008,7/22/2001,6,ozone
31,4.41,4/23/1989,2/23/1985,7,ozone
32,4.56,4/26/1997,7/21/1992,7,ozone
33,4.95,6/14/1996,12/13/1990,7,ozone
34,5.23,7/16/2007,4/28/2001,7,ozone
35,5.33,9/12/1989,8/20/1982,7,ozone
36,4.24,10/5/1992,8/7/1988,8,ozone
37,4.64,6/1/1987,8/26/1982,8,ozone
38,4.95,4/1/1996,9/30/1990,8,ozone
39,5.38,3/17/2002,12/29/1995,8,ozone
40,5.48,6/2/1999,5/9/1992,8,ozone
41,4.82,8/1/2003,6/3/1999,9,ozone
42,5.17,12/22/1999,3/18/1995,9,ozone
43,5.76,6/12/2008,12/11/2002,9,ozone
44,6.12,9/15/2004,6/29/1998,9,ozone
45,6.24,6/11/2010,5/19/2003,9,ozone
46,3.84,3/31/1993,1/31/1989,10,ozone
47,4.17,9/15/2000,12/11/1995,10,ozone
48,4.67,9/8/1997,3/8/1992,10,ozone
49,4.67,11/6/2006,8/19/2000,10,ozone
50,4.8,7/5/2001,6/12/1994,10,ozone
51,4.07,10/15/1998,8/17/1994,11,ozone
52,4.31,6/3/2005,8/28/2000,11,ozone
53,4.9,5/18/1993,11/16/1987,11,ozone
54,5.1,1/22/2002,11/5/1995,11,ozone
55,5.1,10/27/2001,10/4/1994,11,ozone
56,4.28,12/5/1986,10/7/1982,12,ozone
57,4.8,7/16/1997,10/10/1992,12,ozone
58,5.27,6/26/2007,12/24/2001,12,ozone
59,5.55,2/11/2004,11/24/1997,12,ozone
60,5.65,8/30/1998,8/7/1991,12,ozone
61,4.47,2/19/2002,12/22/1997,13,ozone
62,4.89,3/22/2007,6/16/2002,13,ozone
63,5.23,5/8/1992,11/6/1986,13,ozone
64,5.55,6/3/2005,3/17/1999,13,ozone
65,5.74,8/10/2009,7/18/2002,13,ozone
66,4.46,5/18/2000,3/20/1996,14,ozone
67,4.84,6/14/2007,9/8/2002,14,ozone
68,5.11,5/28/1990,11/25/1984,14,ozone
69,5.34,6/18/2004,4/1/1998,14,ozone
70,5.46,8/2/1993,7/10/1986,14,ozone
71,4.6,8/8/1992,6/10/1988,15,ozone
72,4.08,5/4/2007,7/29/2002,15,ozone
73,4.17,6/19/1992,12/18/1986,15,ozone
74,4.35,11/25/2003,9/7/1997,15,ozone
75,4.59,7/22/1998,6/29/1991,15,ozone
76,3.73,11/23/2006,9/25/2002,16,ozone
77,4.15,3/3/1998,5/28/1993,16,ozone
78,4.61,6/14/1997,12/13/1991,16,ozone
79,4.87,6/30/2007,4/12/2001,16,ozone
80,4.93,9/9/1999,8/16/1992,16,ozone
81,4.67,4/22/1999,2/22/1995,17,ozone
82,4.88,1/31/1992,4/27/1987,17,ozone
83,5.18,1/24/1999,7/24/1993,17,ozone
84,5.34,2/5/2008,11/18/2001,17,ozone
85,5.49,10/30/2010,10/7/2003,17,ozone
86,2.96,10/17/2005,8/19/2001,18,ozone
87,3.47,5/15/1987,8/9/1982,18,ozone
88,3.76,1/13/2007,7/13/2001,18,ozone
89,3.89,12/19/1992,10/2/1986,18,ozone
90,4.3,1/23/1998,12/31/1990,18,ozone
91,3.24,5/29/2000,3/31/1996,19,ozone
92,3.93,1/19/2000,4/15/1995,19,ozone
93,4.76,8/30/1995,2/27/1990,19,ozone
94,4.62,6/22/1994,4/4/1988,19,ozone
95,4.64,4/24/1990,4/1/1983,19,ozone
96,4.36,6/8/2005,4/10/2001,20,ozone
97,4.77,6/19/1997,9/13/1992,20,ozone
98,5.02,1/23/2008,7/23/2002,20,ozone
99,5.26,8/8/1988,5/22/1982,20,ozone
100,5.45,11/9/2008,10/17/2001,20,ozone
101,4.04,5/7/1994,3/9/1990,21,ozone
102,4.64,12/31/2002,3/27/1998,21,ozone
103,4.86,1/13/1992,7/13/1986,21,ozone
104,5.09,11/30/2008,9/13/2002,21,ozone
105,5.25,3/27/2006,3/4/1999,21,ozone
106,3.53,9/3/1996,7/6/1992,22,ozone
107,4.25,10/22/1988,1/17/1984,22,ozone
108,4.68,6/3/1988,12/2/1982,22,ozone
109,4.97,8/27/2006,6/9/2000,22,ozone
110,5.18,4/18/2003,3/25/1996,22,ozone
111,4.22,4/27/1996,2/28/1992,23,ozone
112,4.69,2/2/2007,4/29/2002,23,ozone
113,5.07,8/25/2003,2/22/1998,23,ozone
114,5.37,10/19/2006,8/1/2000,23,ozone
115,5.58,5/6/1999,4/12/1992,23,ozone
116,2.79,12/2/2004,10/4/2000,24,ozone
117,3.1,11/4/1994,1/29/1990,24,ozone
118,3.3,11/7/2000,5/8/1995,24,ozone
119,3.38,1/18/1994,11/1/1987,24,ozone
120,3.55,6/14/2002,5/22/1995,24,ozone
121,3.3,4/3/1987,2/3/1983,25,ozone
122,3.9,7/6/2008,10/1/2003,25,ozone
123,4.34,4/12/1990,10/10/1984,25,ozone
124,4.96,2/20/1998,12/4/1991,25,ozone
125,5.4,5/18/1997,4/25/1990,25,ozone
126,3.34,2/13/1998,12/16/1993,26,ozone
127,3.81,1/2/2002,3/29/1997,26,ozone
128,4.21,9/6/1994,3/6/1989,26,ozone
129,4.54,11/7/1998,8/20/1992,26,ozone
130,4.86,7/10/2001,6/17/1994,26,ozone
131,3.76,3/2/2004,1/3/2000,27,ozone
132,4.36,5/12/2004,8/7/1999,27,ozone
133,4.7,7/6/1989,1/4/1984,27,ozone
134,5.44,3/18/1997,12/30/1990,27,ozone
135,5.32,9/30/1992,9/7/1985,27,ozone
136,4.49,12/8/1992,10/10/1988,28,ozone
137,4.76,12/24/1990,3/20/1986,28,ozone
138,5.15,2/24/1996,8/24/1990,28,ozone
139,5.37,3/25/2004,1/6/1998,28,ozone
140,5.56,11/21/2008,10/29/2001,28,ozone
141,4.88,5/10/1993,3/12/1989,29,ozone
142,5.14,3/29/2006,6/23/2001,29,ozone
143,5.52,1/16/1988,7/16/1982,29,ozone
144,6.08,12/28/1999,10/10/1993,29,ozone
145,6.17,4/2/1995,3/9/1988,29,ozone
146,4.88,11/9/1997,9/11/1993,30,ozone
147,5.32,11/6/1989,1/31/1985,30,ozone
148,5.63,9/26/2007,3/26/2002,30,ozone
149,5.75,9/3/1989,6/17/1983,30,ozone
150,5.94,3/5/2006,2/10/1999,30,ozone
151,3.8,7/15/1999,5/17/1995,31,ozone
152,4.16,1/5/1996,4/1/1991,31,ozone
153,4.45,7/26/2002,1/23/1997,31,ozone
154,4.89,5/23/2003,3/5/1997,31,ozone
155,5.05,6/26/1998,6/3/1991,31,ozone
156,4.46,10/14/1987,8/16/1983,32,ozone
157,4.62,10/22/1995,1/16/1991,32,ozone
158,5,12/12/1988,6/12/1983,32,ozone
159,5.4,6/6/1995,3/19/1989,32,ozone
160,5.49,7/29/2005,7/6/1998,32,ozone
161,4.29,11/24/2001,9/26/1997,33,ozone
162,4.82,6/7/1988,9/2/1983,33,ozone
163,5.32,7/7/2001,1/5/1996,33,ozone
164,5.46,8/11/1999,5/24/1993,33,ozone
165,5.5,9/1/1997,8/9/1990,33,ozone
166,4.06,1/15/2007,11/17/2002,34,ozone
167,4.58,2/26/1998,5/23/1993,34,ozone
168,4.81,11/12/1989,5/12/1984,34,ozone
169,5.12,4/19/2004,1/31/1998,34,ozone
170,5.27,8/21/1998,7/29/1991,34,ozone
171,5.16,10/31/2006,9/2/2002,35,ozone
172,5.43,8/9/2007,11/3/2002,35,ozone
173,5.71,7/1/2008,12/30/2002,35,ozone
174,6.08,9/17/1991,6/30/1985,35,ozone
175,6.21,8/3/2004,7/11/1997,35,ozone
176,3.81,6/2/1988,4/4/1984,36,ozone
177,4.12,4/19/1999,7/14/1994,36,ozone
178,4.42,5/11/2008,11/9/2002,36,ozone
179,4.62,12/17/2008,9/30/2002,36,ozone
180,4.6,9/20/1989,8/28/1982,36,ozone
181,5.09,8/9/2002,6/11/1998,37,ozone
182,5.62,12/25/2001,3/21/1997,37,ozone
183,5.9,11/28/1989,5/28/1984,37,ozone
184,6.36,6/9/1998,3/22/1992,37,ozone
185,6.49,3/3/1991,2/8/1984,37,ozone
186,4.13,2/8/2005,12/11/2000,38,ozone
187,4.71,12/20/2002,3/16/1998,38,ozone
188,5.27,11/23/2003,5/23/1998,38,ozone
189,5.56,1/29/1989,11/12/1982,38,ozone
190,5.72,3/19/1994,2/24/1987,38,ozone
191,4.85,5/28/2006,3/30/2002,39,ozone
192,5.36,10/4/1990,12/29/1985,39,ozone
193,5.52,5/12/2009,11/10/2003,39,ozone
194,5.96,9/26/1996,7/10/1990,39,ozone
195,6.13,11/24/2007,10/31/2000,39,ozone
196,4.11,9/2/1995,7/5/1991,40,ozone
197,4.62,9/30/1988,12/26/1983,40,ozone
198,4.95,7/24/1988,1/22/1983,40,ozone
199,5.28,7/18/2005,5/1/1999,40,ozone
200,5.43,9/27/1995,9/3/1988,40,ozone
201,4.95,10/26/1991,8/28/1987,41,ozone
202,5.39,11/4/1988,1/30/1984,41,ozone
203,5.82,11/23/2007,5/23/2002,41,ozone
204,6.42,7/18/2008,5/1/2002,41,ozone
205,6.48,2/20/2004,1/27/1997,41,ozone
206,4.36,10/24/1993,8/26/1989,42,ozone
207,4.65,12/12/1999,3/8/1995,42,ozone
208,5.04,4/21/1997,10/20/1991,42,ozone
209,5.38,12/21/1992,10/4/1986,42,ozone
210,5.47,4/30/2007,4/6/2000,42,ozone
211,4.05,10/12/1990,8/14/1986,43,ozone
212,4.65,9/26/1999,12/21/1994,43,ozone
213,5.09,1/26/1991,7/26/1985,43,ozone
214,5.44,2/26/2001,12/10/1994,43,ozone
215,5.6,7/22/1989,6/29/1982,43,ozone
216,3.76,7/7/1990,5/9/1986,44,ozone
217,4.27,10/27/1996,1/22/1992,44,ozone
218,4.59,10/1/1995,3/31/1990,44,ozone
219,5.1,2/1/1999,11/14/1992,44,ozone
220,5.25,4/3/2010,3/11/2003,44,ozone
221,2.84,4/4/1992,2/5/1988,45,ozone
222,3.25,12/22/1993,3/18/1989,45,ozone
223,3.69,3/12/2008,9/10/2002,45,ozone
224,4.16,7/11/1998,4/23/1992,45,ozone
225,4.21,7/1/2003,6/7/1996,45,ozone
226,4.33,6/12/1990,4/14/1986,46,ozone
227,4.8,8/22/1988,11/17/1983,46,ozone
228,5.09,6/20/1988,12/19/1982,46,ozone
229,5.42,9/11/2001,6/25/1995,46,ozone
230,5.61,3/29/1995,3/5/1988,46,ozone
231,3.99,6/18/1986,4/20/1982,47,ozone
232,4.55,11/24/1993,2/18/1989,47,ozone
233,4.91,2/1/1996,8/1/1990,47,ozone
234,5.26,2/12/2005,11/26/1998,47,ozone
235,5.3,12/20/1995,11/26/1988,47,ozone
236,3.5,5/30/2002,4/1/1998,48,ozone
237,3.75,8/17/1997,11/11/1992,48,ozone
238,3.97,5/27/2007,11/24/2001,48,ozone
239,4.71,3/29/2009,1/10/2003,48,ozone
240,4.85,9/6/2000,8/14/1993,48,ozone
241,3.31,8/25/2007,6/27/2003,49,ozone
242,3.45,2/6/2004,5/3/1999,49,ozone
243,4.16,5/29/1988,11/27/1982,49,ozone
244,4.48,9/10/2002,6/23/1996,49,ozone
245,4.54,6/3/1995,5/10/1988,49,ozone
246,3.03,1/1/2004,11/3/1999,50,ozone
247,3.55,1/7/2006,4/3/2001,50,ozone
248,3.97,1/29/1997,7/30/1991,50,ozone
249,4.4,4/8/2009,1/20/2003,50,ozone
250,4.58,11/3/2001,10/11/1994,50,ozone
251,3.27,11/11/1987,9/13/1983,51,ozone
252,3.83,2/18/1997,5/15/1992,51,ozone
253,4.44,7/17/1993,1/15/1988,51,ozone
254,4.8,10/11/1993,7/25/1987,51,ozone
255,4.89,10/23/2002,9/30/1995,51,ozone
256,3.56,7/30/1996,6/1/1992,52,ozone
257,4.18,9/3/1997,11/28/1992,52,ozone
258,4.7,1/27/2008,7/27/2002,52,ozone
259,5.27,1/31/2010,11/14/2003,52,ozone
260,5.28,1/5/2000,12/12/1992,52,ozone
261,3.39,12/6/1986,10/8/1982,53,ozone
262,3.73,12/30/1998,3/26/1994,53,ozone
263,3.92,9/20/2000,3/21/1995,53,ozone
264,4.11,9/27/1995,7/10/1989,53,ozone
265,4.15,12/25/1989,12/2/1982,53,ozone
266,3.72,5/13/1987,3/15/1983,54,ozone
267,4.16,12/28/2000,3/24/1996,54,ozone
268,4.55,10/4/2005,4/3/2000,54,ozone
269,5.03,7/24/1997,5/7/1991,54,ozone
270,5.02,2/19/1992,1/26/1985,54,ozone
271,4.53,9/13/1996,7/16/1992,55,control
272,5.05,5/19/1994,8/13/1989,55,control
273,5.18,6/20/1999,12/18/1993,55,control
274,5.41,5/20/2007,3/2/2001,55,control
275,5.42,6/9/1991,5/16/1984,55,control
276,4.97,5/18/1994,3/20/1990,56,control
277,5.32,4/15/2003,7/10/1998,56,control
278,5.83,5/30/2007,11/27/2001,56,control
279,6.29,1/2/1993,10/16/1986,56,control
280,6.45,3/30/2001,3/7/1994,56,control
281,4.37,6/20/1999,4/22/1995,57,control
282,4.81,9/22/1993,12/17/1988,57,control
283,5.03,12/28/2005,6/27/2000,57,control
284,5.19,2/27/1996,12/10/1989,57,control
285,5.4,3/19/2010,2/24/2003,57,control
286,4.58,9/12/2004,7/15/2000,58,control
287,4.99,10/8/1991,1/2/1987,58,control
288,5.37,6/14/2000,12/13/1994,58,control
289,5.68,5/22/2006,3/4/2000,58,control
290,5.93,10/30/1992,10/7/1985,58,control
291,4,5/9/2004,3/11/2000,59,control
292,4.5,10/23/1989,1/17/1985,59,control
293,4.92,9/21/1999,3/21/1994,59,control
294,5.44,11/1/1994,8/14/1988,59,control
295,5.87,7/9/2006,6/16/1999,59,control
296,4.73,7/16/2003,5/18/1999,60,control
297,5.05,3/21/2007,6/15/2002,60,control
298,5.33,3/5/2007,9/2/2001,60,control
299,5.92,9/2/2001,6/16/1995,60,control
300,6.01,8/15/2005,7/23/1998,60,control
301,5.15,6/1/2001,4/3/1997,61,control
302,5.63,2/14/1992,5/11/1987,61,control
303,6.11,11/16/1998,5/16/1993,61,control
304,6.39,3/23/1991,1/3/1985,61,control
305,6.61,8/22/2002,7/30/1995,61,control
306,4.1,1/4/2008,11/6/2003,62,control
307,4.46,9/20/1996,12/16/1991,62,control
308,4.84,5/2/2003,10/30/1997,62,control
309,5.29,2/18/2005,12/2/1998,62,control
310,5.48,6/2/1999,5/9/1992,62,control
311,3.22,7/5/1989,5/7/1985,63,control
312,3.85,4/7/2007,7/2/2002,63,control
313,4.47,10/28/1993,4/27/1988,63,control
314,4.85,4/8/2000,1/20/1994,63,control
315,5.11,6/23/1994,5/31/1987,63,control
316,2.23,7/2/1994,5/4/1990,64,control
317,2.89,10/19/2007,1/13/2003,64,control
318,3.16,6/26/1988,12/25/1982,64,control
319,3.4,10/22/2004,8/5/1998,64,control
320,3.52,11/14/1998,10/22/1991,64,control
321,3.65,1/15/2007,11/17/2002,65,control
322,4.36,1/10/1994,4/6/1989,65,control
323,4.76,2/13/2002,8/13/1996,65,control
324,5.18,12/11/1998,9/23/1992,65,control
325,5.44,7/15/1997,6/22/1990,65,control
326,3.4,11/18/2000,9/20/1996,66,control
327,3.92,4/4/2006,6/29/2001,66,control
328,4.5,2/24/2007,8/24/2001,66,control
329,4.97,10/8/2005,7/22/1999,66,control
330,5.14,11/1/2010,10/9/2003,66,control
331,5.16,2/26/2003,12/29/1998,67,control
332,5.49,11/22/1987,2/16/1983,67,control
333,5.74,4/4/2009,10/3/2003,67,control
334,6.05,12/27/1994,10/9/1988,67,control
335,6.21,11/25/1994,11/2/1987,67,control
336,4.04,6/4/1990,4/6/1986,68,control
337,4.52,6/8/1990,9/2/1985,68,control
338,5.15,3/4/1991,9/1/1985,68,control
339,5.59,5/3/1999,2/13/1993,68,control
340,5.87,12/29/1989,12/6/1982,68,control
341,4.52,9/27/2004,7/30/2000,69,control
342,4.91,10/30/1991,1/24/1987,69,control
343,5.04,4/9/1996,10/8/1990,69,control
344,5.71,1/24/1995,11/6/1988,69,control
345,5.97,5/11/2009,4/18/2002,69,control
346,4.56,6/8/1989,4/10/1985,70,control
347,5.12,11/5/1995,1/30/1991,70,control
348,5.4,6/30/2004,12/29/1998,70,control
349,5.69,3/3/1997,12/15/1990,70,control
350,5.89,8/25/2003,8/1/1996,70,control
351,4.9,8/22/1989,6/24/1985,71,control
352,5.35,3/31/2004,6/26/1999,71,control
353,5.71,3/15/1988,9/13/1982,71,control
354,6.12,4/5/1995,1/16/1989,71,control
355,6.25,1/26/2010,1/3/2003,71,control
356,4.83,12/14/2002,10/16/1998,72,control
357,5.1,7/30/2005,10/24/2000,72,control
358,5.43,5/19/2006,11/16/2000,72,control
359,5.59,2/11/2006,11/25/1999,72,control
360,6.04,1/23/1992,12/30/1984,72,control
361,5.46,3/27/1996,1/28/1992,73,control
362,5.79,4/12/1997,7/7/1992,73,control
363,6.12,10/25/1996,4/25/1991,73,control
364,6.41,3/31/1992,1/12/1986,73,control
365,6.63,10/11/2002,9/18/1995,73,control
366,4.17,4/11/1990,2/11/1986,74,control
367,4.67,8/20/1996,11/15/1991,74,control
368,5.16,9/19/1997,3/19/1992,74,control
369,5.56,5/10/2008,2/21/2002,74,control
370,5.75,2/18/1998,1/26/1991,74,control
371,3.35,8/7/1994,6/9/1990,75,control
372,4.05,5/8/2008,8/3/2003,75,control
373,4.51,11/29/1998,5/29/1993,75,control
374,5.22,11/8/2008,8/22/2002,75,control
375,5.44,12/3/1993,11/10/1986,75,control
376,3.33,11/7/2001,9/9/1997,76,control
377,3.82,1/19/1995,4/15/1990,76,control
378,4.38,11/6/1994,5/6/1989,76,control
379,4.99,10/25/1988,8/8/1982,76,control
380,5.17,6/3/1994,5/11/1987,76,control
381,3.41,8/27/1992,6/29/1988,77,control
382,3.68,2/1/1992,4/28/1987,77,control
383,4.03,9/18/1999,3/18/1994,77,control
384,4.28,9/12/1998,6/25/1992,77,control
385,4.54,9/1/1999,8/8/1992,77,control
386,4.5,1/22/1988,11/24/1983,78,control
387,4.8,9/21/2002,12/16/1997,78,control
388,5.28,2/11/1992,8/11/1986,78,control
389,5.83,1/30/2000,11/12/1993,78,control
390,6.16,5/2/2006,4/9/1999,78,control
391,2.99,4/19/2006,2/19/2002,79,control
392,3.61,6/17/2001,9/11/1996,79,control
393,4.48,4/8/2002,10/6/1996,79,control
394,4.91,6/1/1991,3/14/1985,79,control
395,5.06,10/30/1994,10/7/1987,79,control